ID,Label
train_00000_b.png,0
train_00001_b.png,1
train_00002_b.png,1
train_00003_b.png,5
train_00004_b.png,5
train_00005_b.png,5
train_00006_b.png,3
train_00007_b.png,0
train_00008_b.png,3
train_00009_b.png,5
train_00010_b.png,3
train_00011_b.png,5
train_00012_b.png,3
train_00013_b.png,3
train_00014_b.png,1
train_00015_b.png,1
train_00016_b.png,1
train_00017_b.png,1
train_00018_b.png,5
train_00019_b.png,1
train_00020_b.png,1
train_00021_b.png,1
train_00022_b.png,0
train_00023_b.png,5
train_00024_b.png,3
train_00025_b.png,1
train_00026_b.png,5
train_00027_b.png,5
train_00028_b.png,4
train_00029_b.png,5
train_00030_b.png,5
train_00031_b.png,0
train_00032_b.png,0
train_00033_b.png,4
train_00034_b.png,3
train_00035_b.png,1
train_00036_b.png,1
train_00037_b.png,0
train_00038_b.png,0
train_00039_b.png,1
train_00040_b.png,1
train_00041_b.png,5
train_00042_b.png,1
train_00043_b.png,5
train_00044_b.png,5
train_00045_b.png,5
train_00046_b.png,3
train_00047_b.png,1
train_00048_b.png,1
train_00049_b.png,1
train_00050_b.png,4
train_00051_b.png,0
train_00052_b.png,3
train_00053_b.png,3
train_00054_b.png,5
train_00055_b.png,0
train_00056_b.png,1
train_00057_b.png,0
train_00058_b.png,5
train_00059_b.png,5
train_00060_b.png,5
train_00061_b.png,5
train_00062_b.png,3
train_00063_b.png,5
train_00064_b.png,0
train_00065_b.png,0
train_00066_b.png,1
train_00067_b.png,0
train_00068_b.png,3
train_00069_b.png,5
train_00070_b.png,5
train_00071_b.png,0
train_00072_b.png,1
train_00073_b.png,5
train_00074_b.png,0
train_00075_b.png,5
train_00076_b.png,3
train_00077_b.png,4
train_00078_b.png,5
train_00079_b.png,1
train_00080_b.png,0
train_00081_b.png,5
train_00082_b.png,0
train_00083_b.png,1
train_00084_b.png,0
train_00085_b.png,1
train_00086_b.png,0
train_00087_b.png,5
train_00088_b.png,3
train_00089_b.png,0
train_00090_b.png,5
train_00091_b.png,5
train_00092_b.png,5
train_00093_b.png,0
train_00094_b.png,0
train_00095_b.png,0
train_00096_b.png,1
train_00097_b.png,0
train_00098_b.png,5
train_00099_b.png,3
train_00100_b.png,3
train_00101_b.png,0
train_00102_b.png,0
train_00103_b.png,0
train_00104_b.png,4
train_00105_b.png,0
train_00106_b.png,0
train_00107_b.png,5
train_00108_b.png,0
train_00109_b.png,0
train_00110_b.png,0
train_00111_b.png,4
train_00112_b.png,1
train_00113_b.png,5
train_00114_b.png,3
train_00115_b.png,0
train_00116_b.png,0
train_00117_b.png,0
train_00118_b.png,2
train_00119_b.png,0
train_00120_b.png,3
train_00121_b.png,5
train_00122_b.png,1
train_00123_b.png,5
train_00124_b.png,1
train_00125_b.png,2
train_00126_b.png,1
train_00127_b.png,3
train_00128_b.png,2
train_00129_b.png,5
train_00130_b.png,1
train_00131_b.png,0
train_00132_b.png,4
train_00133_b.png,4
train_00134_b.png,1
train_00135_b.png,4
train_00136_b.png,0
train_00137_b.png,2
train_00138_b.png,3
train_00139_b.png,0
train_00140_b.png,1
train_00141_b.png,5
train_00142_b.png,3
train_00143_b.png,4
train_00144_b.png,1
train_00145_b.png,0
train_00146_b.png,5
train_00147_b.png,0
train_00148_b.png,1
train_00149_b.png,4
train_00150_b.png,1
train_00151_b.png,0
train_00152_b.png,3
train_00153_b.png,0
train_00154_b.png,1
train_00155_b.png,0
train_00156_b.png,3
train_00157_b.png,5
train_00158_b.png,3
train_00159_b.png,5
train_00160_b.png,4
train_00161_b.png,2
train_00162_b.png,3
train_00163_b.png,0
train_00164_b.png,1
train_00165_b.png,1
train_00166_b.png,0
train_00167_b.png,0
train_00168_b.png,1
train_00169_b.png,4
train_00170_b.png,1
train_00171_b.png,5
train_00172_b.png,1
train_00173_b.png,0
train_00174_b.png,3
train_00175_b.png,2
train_00176_b.png,1
train_00177_b.png,3
train_00178_b.png,1
train_00179_b.png,0
train_00180_b.png,0
train_00181_b.png,4
train_00182_b.png,0
train_00183_b.png,1
train_00184_b.png,5
train_00185_b.png,5
train_00186_b.png,3
train_00187_b.png,0
train_00188_b.png,0
train_00189_b.png,5
train_00190_b.png,4
train_00191_b.png,1
train_00192_b.png,5
train_00193_b.png,1
train_00194_b.png,0
train_00195_b.png,4
train_00196_b.png,3
train_00197_b.png,3
train_00198_b.png,5
train_00199_b.png,1
train_00200_b.png,5
train_00201_b.png,4
train_00202_b.png,0
train_00203_b.png,1
train_00204_b.png,5
train_00205_b.png,1
train_00206_b.png,0
train_00207_b.png,0
train_00208_b.png,3
train_00209_b.png,1
train_00210_b.png,5
train_00211_b.png,5
train_00212_b.png,5
train_00213_b.png,5
train_00214_b.png,3
train_00215_b.png,5
train_00216_b.png,1
train_00217_b.png,3
train_00218_b.png,4
train_00219_b.png,0
train_00220_b.png,2
train_00221_b.png,1
train_00222_b.png,3
train_00223_b.png,3
train_00224_b.png,0
train_00225_b.png,1
train_00226_b.png,1
train_00227_b.png,0
train_00228_b.png,0
train_00229_b.png,0
train_00230_b.png,5
train_00231_b.png,4
train_00232_b.png,1
train_00233_b.png,5
train_00234_b.png,4
train_00235_b.png,1
train_00236_b.png,3
train_00237_b.png,5
train_00238_b.png,4
train_00239_b.png,0
train_00240_b.png,1
train_00241_b.png,1
train_00242_b.png,0
train_00243_b.png,1
train_00244_b.png,2
train_00245_b.png,4
train_00246_b.png,5
train_00247_b.png,0
train_00248_b.png,1
train_00249_b.png,5
train_00250_b.png,3
train_00251_b.png,5
train_00252_b.png,0
train_00253_b.png,1
train_00254_b.png,3
train_00255_b.png,3
train_00256_b.png,1
train_00257_b.png,4
train_00258_b.png,1
train_00259_b.png,5
train_00260_b.png,5
train_00261_b.png,3
train_00262_b.png,2
train_00263_b.png,0
train_00264_b.png,5
train_00265_b.png,4
train_00266_b.png,4
train_00267_b.png,3
train_00268_b.png,5
train_00269_b.png,1
train_00270_b.png,4
train_00271_b.png,5
train_00272_b.png,5
train_00273_b.png,5
train_00274_b.png,5
train_00275_b.png,1
train_00276_b.png,5
train_00277_b.png,1
train_00278_b.png,1
train_00279_b.png,5
train_00280_b.png,4
train_00281_b.png,0
train_00282_b.png,3
train_00283_b.png,0
train_00284_b.png,1
train_00285_b.png,3
train_00286_b.png,1
train_00287_b.png,3
train_00288_b.png,3
train_00289_b.png,4
train_00290_b.png,5
train_00291_b.png,3
train_00292_b.png,5
train_00293_b.png,5
train_00294_b.png,0
train_00295_b.png,5
train_00296_b.png,3
train_00297_b.png,1
train_00298_b.png,1
train_00299_b.png,5
train_00300_b.png,1
train_00301_b.png,1
train_00302_b.png,2
train_00303_b.png,1
train_00304_b.png,5
train_00305_b.png,4
train_00306_b.png,3
train_00307_b.png,4
train_00308_b.png,1
train_00309_b.png,0
train_00310_b.png,1
train_00311_b.png,5
train_00312_b.png,0
train_00313_b.png,2
train_00314_b.png,0
train_00315_b.png,5
train_00316_b.png,0
train_00317_b.png,5
train_00318_b.png,0
train_00319_b.png,4
train_00320_b.png,5
train_00321_b.png,4
train_00322_b.png,0
train_00323_b.png,0
train_00324_b.png,0
train_00325_b.png,2
